sample-id	case_control	tissue	sequencing	region
SRR5514942	control	stool	Illumina_Miseq	V1-V2
SRR5514944	control	stool	Illumina_Miseq	V1-V2
SRR5514945	control	stool	Illumina_Miseq	V1-V2
SRR5514946	control	stool	Illumina_Miseq	V1-V2
SRR5514947	control	stool	Illumina_Miseq	V1-V2
SRR5514948	control	stool	Illumina_Miseq	V1-V2
SRR5514949	control	stool	Illumina_Miseq	V1-V2
SRR5514950	control	stool	Illumina_Miseq	V1-V2
SRR5514951	control	stool	Illumina_Miseq	V1-V2
SRR5514943	control	stool	Illumina_Miseq	V1-V2
SRR5514957	case	stool	Illumina_Miseq	V1-V2
SRR5514955	case	stool	Illumina_Miseq	V1-V2
SRR5514958	case	stool	Illumina_Miseq	V1-V2
SRR5514961	case	stool	Illumina_Miseq	V1-V2
SRR5514959	case	stool	Illumina_Miseq	V1-V2
SRR5514954	case	stool	Illumina_Miseq	V1-V2
SRR5514956	case	stool	Illumina_Miseq	V1-V2
SRR5514960	case	stool	Illumina_Miseq	V1-V2
SRR5514952	case	stool	Illumina_Miseq	V1-V2
SRR5514953	case	stool	Illumina_Miseq	V1-V2
